School,est,var,description,type
Johnnie Lay Burks,0.547423044,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Johnnie Lay Burks,0.298500277,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Johnnie Lay Burks,0.471120744,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Johnnie Lay Burks,0.438733459,OFFICES OF DENTISTS,Third Closest Dentist,count
Johnnie Lay Burks,0.700206797,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Johnnie Lay Burks,0.647318723,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Johnnie Lay Burks,1.85779631,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Johnnie Lay Burks,0.306951978,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Johnnie Lay Burks,0.406334361,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Johnnie Lay Burks,0.37526415,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Johnnie Lay Burks,0.721125248,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Johnnie Lay Burks,0.782220776,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Choice Zone-East,0.719166536,CONVENIENCE STORES,Third Closest Convenience Store,count
Choice Zone-East,0.913297761,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Choice Zone-East,0.811657809,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Choice Zone-East,0.804216071,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Choice Zone-East,2.741767939,OFFICES OF DENTISTS,Third Closest Dentist,count
Choice Zone-East,1.136094877,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Choice Zone-East,0.982386936,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Choice Zone-East,1.155225747,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Choice Zone-East,0.64762543,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Choice Zone-East,1.14134442,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Choice Zone-East,0.913981437,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Choice Zone-East,3.922313896,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Choice Zone-East,1.320056257,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Choice Zone-West,1.086966569,CONVENIENCE STORES,Third Closest Convenience Store,count
Choice Zone-West,2.232689971,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Choice Zone-West,0.98708647,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Choice Zone-West,2.078343151,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Choice Zone-West,1.607876306,OFFICES OF DENTISTS,Third Closest Dentist,count
Choice Zone-West,2.02120037,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Choice Zone-West,2.5715105,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Choice Zone-West,2.725869903,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Choice Zone-West,1.938827301,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Choice Zone-West,2.260435157,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Choice Zone-West,1.804391325,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Choice Zone-West,2.162457155,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Choice Zone-West,2.250595954,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Cleveland Road,1.070259383,CONVENIENCE STORES,Third Closest Convenience Store,count
Cleveland Road,2.416923173,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Cleveland Road,3.533869836,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Cleveland Road,1.179236662,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Cleveland Road,2.108929517,OFFICES OF DENTISTS,Third Closest Dentist,count
Cleveland Road,3.26076971,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Cleveland Road,1.51789498,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Cleveland Road,2.877638638,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Cleveland Road,0.976941997,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Cleveland Road,1.76296457,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Cleveland Road,1.529135436,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Cleveland Road,0.899854842,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Cleveland Road,0.926153287,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Fowler Drive,1.205056836,CONVENIENCE STORES,Third Closest Convenience Store,count
Fowler Drive,1.821189955,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Fowler Drive,1.852477611,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Fowler Drive,2.525267029,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Fowler Drive,2.500211414,OFFICES OF DENTISTS,Third Closest Dentist,count
Fowler Drive,2.79414997,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Fowler Drive,2.47393846,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Fowler Drive,2.333365448,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Fowler Drive,1.258514008,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Fowler Drive,2.699319448,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Fowler Drive,2.234505892,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Fowler Drive,1.093116282,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Fowler Drive,0.97812092,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Gaines,0.617261749,CONVENIENCE STORES,Third Closest Convenience Store,count
Gaines,1.127293679,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Gaines,1.199106629,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Gaines,1.118696631,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Gaines,1.842501405,OFFICES OF DENTISTS,Third Closest Dentist,count
Gaines,1.373887313,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Gaines,0.976718224,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Gaines,1.195476267,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Gaines,0.453077005,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Gaines,0.822908848,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Gaines,1.292675424,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Gaines,2.275684525,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Gaines,0.727482074,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Howard B Stroud,0.849101467,CONVENIENCE STORES,Third Closest Convenience Store,count
Howard B Stroud,1.233357419,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Howard B Stroud,1.516213352,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Howard B Stroud,1.39854429,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Howard B Stroud,1.673324476,OFFICES OF DENTISTS,Third Closest Dentist,count
Howard B Stroud,1.349380196,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Howard B Stroud,1.127508311,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Howard B Stroud,1.814035288,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Howard B Stroud,0.518232266,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Howard B Stroud,1.24767167,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Howard B Stroud,1.087455312,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Howard B Stroud,1.368585559,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Howard B Stroud,1.101158265,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Judia Jackson Harris,0.952608112,CONVENIENCE STORES,Third Closest Convenience Store,count
Judia Jackson Harris,1.755775108,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Judia Jackson Harris,3.151393152,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Judia Jackson Harris,4.512038743,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Judia Jackson Harris,4.180406779,OFFICES OF DENTISTS,Third Closest Dentist,count
Judia Jackson Harris,4.785994762,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Judia Jackson Harris,4.469551961,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Judia Jackson Harris,3.660774612,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Judia Jackson Harris,3.001864797,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Judia Jackson Harris,4.627152306,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Judia Jackson Harris,4.158379781,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Judia Jackson Harris,2.235264705,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Judia Jackson Harris,1.380404731,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Oglethorpe,0.98305401,CONVENIENCE STORES,Third Closest Convenience Store,count
Oglethorpe,1.746162307,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Oglethorpe,1.032973334,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Oglethorpe,1.476029833,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Oglethorpe,1.427901231,OFFICES OF DENTISTS,Third Closest Dentist,count
Oglethorpe,1.530162509,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Oglethorpe,1.669536623,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Oglethorpe,1.796245747,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Oglethorpe,0.788455871,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Oglethorpe,1.616893953,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Oglethorpe,1.443334716,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Oglethorpe,1.389004454,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Oglethorpe,1.469483854,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Timothy Rd.,0.975265602,CONVENIENCE STORES,Third Closest Convenience Store,count
Timothy Rd.,1.199505373,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Timothy Rd.,1.828590178,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Timothy Rd.,1.325893124,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Timothy Rd.,1.559164522,OFFICES OF DENTISTS,Third Closest Dentist,count
Timothy Rd.,1.716507588,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Timothy Rd.,0.978266135,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Timothy Rd.,1.354810056,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Timothy Rd.,0.512166416,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Timothy Rd.,1.145358765,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Timothy Rd.,1.366365285,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Timothy Rd.,0.906097692,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Timothy Rd.,1.120778804,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Whit Davis,2.204419958,CONVENIENCE STORES,Third Closest Convenience Store,count
Whit Davis,2.436465609,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Whit Davis,2.483654628,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Whit Davis,2.337712666,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Whit Davis,4.665230367,OFFICES OF DENTISTS,Third Closest Dentist,count
Whit Davis,2.742564958,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Whit Davis,2.433395281,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Whit Davis,2.761451167,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Whit Davis,1.30646502,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Whit Davis,2.585871785,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Whit Davis,2.443351937,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Whit Davis,5.745464991,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Whit Davis,3.270677681,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Whitehead Rd.,1.290369022,CONVENIENCE STORES,Third Closest Convenience Store,count
Whitehead Rd.,2.550623044,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Whitehead Rd.,1.387417438,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Whitehead Rd.,1.805362519,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Whitehead Rd.,1.71812786,OFFICES OF DENTISTS,Third Closest Dentist,count
Whitehead Rd.,1.878589796,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Whitehead Rd.,2.472395271,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Whitehead Rd.,2.114015342,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Whitehead Rd.,1.448288144,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Whitehead Rd.,2.310980926,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Whitehead Rd.,1.688393344,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Whitehead Rd.,2.5557192,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Whitehead Rd.,2.565786217,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Winterville,1.84922084,CONVENIENCE STORES,Third Closest Convenience Store,count
Winterville,2.815168101,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Winterville,2.511410602,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Winterville,2.906047015,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Winterville,3.749463803,OFFICES OF DENTISTS,Third Closest Dentist,count
Winterville,3.119460406,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Winterville,2.56399829,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Winterville,3.14342988,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Winterville,2.091238779,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Winterville,3.228792672,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Winterville,2.955680964,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Winterville,4.202705225,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Winterville,2.412658462,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
